SimNum,Simulation,Electoral College Winner,SimpleCanidate,Third Party EC Votes,WinningMargin,Democratic EC Votes,Republican EC Votes,Democratic State Wins,Republican State Wins,WinnerStateWins
97,election_97,The Democratic nominee (Biden/Harris),Biden,0,8,277,261,"Wisconsin, Arizona, Nevada","Michigan, Georgia, Iowa","Wisconsin, Arizona, Nevada"
98,election_98,The Democratic nominee (Biden/Harris),Biden,0,35,304,234,"Wisconsin, Michigan, Arizona","Iowa, Ohio, Florida","Wisconsin, Michigan, Arizona"
99,election_99,The Republican nominee (Trump/Pence),Trump,0,-8,261,277,"Wisconsin, Michigan, Pennsylvania","Arizona, Georgia, Iowa","Arizona, Georgia, Iowa"
100,election_100,The Republican nominee (Trump/Pence),Trump,0,-20,249,289,"Arizona, Pennsylvania, NA","Wisconsin, Michigan, Georgia","Wisconsin, Michigan, Georgia"
101,election_101,The Republican nominee (Trump/Pence),Trump,0,-10,259,279,"Georgia, Pennsylvania, NA","Wisconsin, Michigan, Arizona","Wisconsin, Michigan, Arizona"
102,election_102,The Republican nominee (Trump/Pence),Trump,0,-1,268,270,"Michigan, Pennsylvania, NA","Wisconsin, Arizona, Georgia","Wisconsin, Arizona, Georgia"
103,election_103,The Democratic nominee (Biden/Harris),Biden,0,36,305,233,"Wisconsin, Michigan, Florida","Arizona, Georgia, Iowa","Wisconsin, Michigan, Florida"
104,election_104,The Republican nominee (Trump/Pence),Trump,0,-12,257,281,"Wisconsin, Pennsylvania, NA","Michigan, Arizona, Georgia","Michigan, Arizona, Georgia"
105,election_105,The Republican nominee (Trump/Pence),Trump,0,-3,266,272,"Wisconsin, Michigan, Pennsylvania","Arizona, Georgia, Iowa","Arizona, Georgia, Iowa"
106,election_106,The Democratic nominee (Biden/Harris),Biden,0,20,289,249,"Michigan, Arizona, Georgia","Wisconsin, Ohio, Florida","Michigan, Arizona, Georgia"
107,election_107,The Democratic nominee (Biden/Harris),Biden,0,23,292,246,"Michigan, Arizona, Ohio","Wisconsin, Georgia, Iowa","Michigan, Arizona, Ohio"
108,election_108,The Republican nominee (Trump/Pence),Trump,0,-6,263,275,"Wisconsin, Michigan, Pennsylvania","Arizona, Georgia, Iowa","Arizona, Georgia, Iowa"
109,election_109,The Democratic nominee (Biden/Harris),Biden,0,9,278,260,"Wisconsin, Michigan, Iowa","Arizona, Georgia, Ohio","Wisconsin, Michigan, Iowa"
110,election_110,The Democratic nominee (Biden/Harris),Biden,3,10,279,256,"Michigan, Iowa, Ohio","Wisconsin, Arizona, Georgia","Michigan, Iowa, Ohio"
111,election_111,The Republican nominee (Trump/Pence),Trump,0,-10,259,279,"Michigan, Pennsylvania, NA","Wisconsin, Arizona, Georgia","Wisconsin, Arizona, Georgia"
112,election_112,The Democratic nominee (Biden/Harris),Biden,0,8,277,261,"Michigan, Iowa, Pennsylvania","Wisconsin, Arizona, Georgia","Michigan, Iowa, Pennsylvania"
113,election_113,The Democratic nominee (Biden/Harris),Biden,0,19,288,250,"Michigan, Florida, Pennsylvania","Wisconsin, Arizona, Georgia","Michigan, Florida, Pennsylvania"
114,election_114,The Democratic nominee (Biden/Harris),Biden,0,16,285,253,"Wisconsin, Michigan, Arizona","Georgia, Iowa, Ohio","Wisconsin, Michigan, Arizona"
115,election_115,The Democratic nominee (Biden/Harris),Biden,0,10,279,259,"Wisconsin, Michigan, Georgia","Arizona, Iowa, Ohio","Wisconsin, Michigan, Georgia"
116,election_116,The Democratic nominee (Biden/Harris),Biden,0,2,271,267,"Michigan, Arizona, Pennsylvania","Wisconsin, Georgia, Iowa","Michigan, Arizona, Pennsylvania"
